sampleId,service,cpuUsage,memoryUsage,p95Latency,errorRate,requestRate,dbPoolUsage,deploymentChanged,sloThreshold,slo_violation
SAMPLE-00333,Inventory,50.7,44.4,0.98,0.09,501,51.6,0,2,0
SAMPLE-00334,Authentication,38.2,46,0.22,0.02,286,24.7,0,2,0
SAMPLE-00335,Payments,79.5,82,1.82,7.88,508,89.3,1,2,1
SAMPLE-00336,Authentication,43.6,48.7,0.42,0.06,101,44.9,0,2,0
SAMPLE-00337,Inventory,50,50,0.39,0,175,13,0,2,0
SAMPLE-00338,Orders,46.6,61.6,0.52,0.1,326,31.5,0,2,0
SAMPLE-00339,Checkout,36.5,66,0.1,0.1,457,23.7,0,2,0
SAMPLE-00340,Inventory,84.2,87.6,1.8,0.52,1329,95.5,0,2,0
SAMPLE-00341,Inventory,30.5,44.6,0.27,0.08,292,38.3,0,2,0
SAMPLE-00342,Checkout,93.1,85.6,2.64,1.93,1598,98.2,0,2,1
SAMPLE-00343,Checkout,43,64.6,0.8,0.06,483,50.4,0,2,0
SAMPLE-00344,Authentication,61.2,91.4,3.99,6.96,568,88.3,1,2,1
SAMPLE-00345,Inventory,55.4,35.6,0.33,0.03,230,33.6,0,2,0
SAMPLE-00346,Checkout,36.8,35.6,0.48,0.04,466,28.9,0,2,0
SAMPLE-00347,Payments,38,41.9,0.08,0.08,216,25.1,0,2,0
SAMPLE-00348,Orders,47.9,59.2,0.75,0.02,378,20.4,0,2,0
SAMPLE-00349,Orders,78,76.3,1.8,2.42,1338,94.7,0,2,0
SAMPLE-00350,Checkout,72.7,49.2,0.08,0.02,298,23.7,0,2,0
SAMPLE-00351,Orders,26.5,46.3,0.63,0.09,396,54.3,0,2,0
SAMPLE-00352,Payments,41.6,49.2,0.49,0.06,147,26.7,0,2,0
SAMPLE-00353,Authentication,21.4,42.6,0.24,0.07,335,19.6,0,2,0
SAMPLE-00354,Payments,39.5,58,0.47,0.07,419,38.7,0,2,0
SAMPLE-00355,Inventory,84.1,95,1.95,1.48,1779,93.7,0,2,0
SAMPLE-00356,Authentication,94.6,80.6,3.33,2.17,1296,93.4,0,2,1
SAMPLE-00357,Authentication,53.6,38.9,0.37,0,252,25.6,0,2,0
SAMPLE-00358,Authentication,89.8,71.9,3.2,1.32,1070,89.7,0,2,1
SAMPLE-00359,Payments,56.1,49.2,0.31,0.07,209,43.1,0,2,0
SAMPLE-00360,Payments,64.6,42.7,0.26,0.02,376,45.3,0,2,0
SAMPLE-00361,Inventory,42.5,38.3,0.4,0.04,141,22.8,0,2,0
SAMPLE-00362,Authentication,50.8,57.8,0.6,0.04,289,41.2,0,2,0
SAMPLE-00363,Orders,35.3,57.2,0.27,0.04,329,16,0,2,0
SAMPLE-00364,Orders,86.1,76.3,3.17,1.79,2033,93.2,0,2,1
SAMPLE-00365,Checkout,67.3,97.9,4.44,6.28,361,86.9,1,2,1
SAMPLE-00366,Authentication,90.5,76,3.4,4.06,1578,94.6,0,2,1
SAMPLE-00367,Inventory,47.4,52.7,0.08,0.05,469,41.1,0,2,0
SAMPLE-00368,Inventory,37.4,56,0.66,0.06,378,45.4,0,2,0
SAMPLE-00369,Payments,82.2,75.3,3.98,2.09,1371,94.3,0,2,1
SAMPLE-00370,Authentication,83.3,89.4,2.71,12.73,353,79.4,1,2,1
SAMPLE-00371,Orders,21.2,43.3,0.55,0.01,369,10,0,2,0
SAMPLE-00372,Checkout,28.4,54.7,0.08,0.04,267,36.8,0,2,0
SAMPLE-00373,Payments,87.6,73.1,2.51,3.12,1539,96.6,0,2,1
SAMPLE-00374,Inventory,38.9,44,0.25,0.09,347,51.5,0,2,0
SAMPLE-00375,Orders,33.4,54.3,0.48,0.04,306,34,0,2,0
SAMPLE-00376,Checkout,38.5,52.8,0.57,0.03,289,37.5,1,2,0
SAMPLE-00377,Orders,60.1,35.4,0.3,0,261,42.1,0,2,0
SAMPLE-00378,Payments,78,92.2,2.86,3.62,1577,88.7,1,2,1
SAMPLE-00379,Inventory,33.4,40.7,0.2,0.05,368,20.2,0,2,0
SAMPLE-00380,Inventory,27,48.9,0.5,0.08,346,24.1,0,2,0
SAMPLE-00381,Checkout,82.5,92.8,5.21,6.7,582,57.7,1,2,1
SAMPLE-00382,Inventory,26.5,59.7,0.32,0.16,473,21.9,0,2,0
SAMPLE-00383,Authentication,42.1,42.8,0.08,0,86,46.3,0,2,0
SAMPLE-00384,Orders,66.4,89.4,4.66,8.48,389,84.3,1,2,1
SAMPLE-00385,Checkout,91.2,77.6,2.69,2.13,1072,94.9,0,2,1
SAMPLE-00386,Checkout,95.2,80.8,4.11,2.29,1370,96.8,0,2,1
SAMPLE-00387,Inventory,29.5,44.9,0.7,0.01,386,44.7,0,2,0
SAMPLE-00388,Authentication,54.4,52.2,0.63,0.07,318,50.8,0,2,0
SAMPLE-00389,Orders,54.1,57.1,0.53,0.01,106,40.6,0,2,0
SAMPLE-00390,Payments,49.8,52.5,0.21,0.01,343,31.7,0,2,0
SAMPLE-00391,Inventory,36.7,39.4,0.42,0.14,424,45.8,0,2,0
SAMPLE-00392,Orders,30,65.3,0.68,0.01,326,12.1,0,2,0
SAMPLE-00393,Orders,61.1,65,0.08,0.04,319,33.8,0,2,0
SAMPLE-00394,Inventory,35.2,40.4,0.43,0.08,421,27.2,0,2,0
SAMPLE-00395,Checkout,23.6,40.9,0.63,0.03,72,45.2,0,2,0
SAMPLE-00396,Checkout,56.4,60.7,0.26,0,396,28.5,0,2,0
SAMPLE-00397,Authentication,29.9,38.9,0.08,0.03,165,32.6,0,2,0
SAMPLE-00398,Payments,56.2,50,0.68,0.15,296,18.2,0,2,0
SAMPLE-00399,Orders,32.2,50.6,0.66,0.02,455,25.4,0,2,0
SAMPLE-00400,Orders,42.8,54.8,0.13,0.04,410,10,0,2,0
SAMPLE-00401,Inventory,38.6,61.8,0.23,0.06,369,29.4,0,2,0
SAMPLE-00402,Inventory,36.6,41.8,0.5,0.07,255,22.4,0,2,0
SAMPLE-00403,Orders,82.5,81.4,1.98,2.39,1002,93.9,1,2,0
SAMPLE-00404,Authentication,31.9,31.7,0.47,0.02,372,39,0,2,0
SAMPLE-00405,Authentication,37.3,39.5,0.13,0.09,266,40,0,2,0
SAMPLE-00406,Checkout,78,71.8,2.86,3.52,1145,89.1,0,2,1
SAMPLE-00407,Checkout,46,45.3,1,0.05,233,49.4,0,2,0
SAMPLE-00408,Inventory,88.5,82.7,2.11,2.04,1374,97.6,0,2,1
SAMPLE-00409,Authentication,88.1,79.4,3.67,1.09,1409,95.6,0,2,1
SAMPLE-00410,Payments,41.5,44,0.82,0.03,226,25.4,0,2,0
SAMPLE-00411,Inventory,55.7,62.8,0.63,0.07,414,36.6,0,2,0
SAMPLE-00412,Payments,41.5,78,1.07,0.07,330,32.8,0,2,0
SAMPLE-00413,Payments,67.2,34.2,0.09,0.01,277,60.7,1,2,0
SAMPLE-00414,Inventory,81.3,93.3,2.92,11.37,314,71.7,1,2,1
SAMPLE-00415,Checkout,49.8,44.8,0.25,0.05,406,10.1,0,2,0
SAMPLE-00416,Inventory,56.7,52.3,0.08,0.03,336,27.2,0,2,0
SAMPLE-00417,Checkout,84.5,78.4,2.86,3.29,1312,95.5,0,2,1
SAMPLE-00418,Payments,50.8,40.5,0.08,0.04,293,39.7,0,2,0
SAMPLE-00419,Inventory,27.9,58.6,0.78,0.09,161,40.2,0,2,0
SAMPLE-00420,Authentication,33.6,70.2,0.36,0.01,462,37.4,0,2,0
SAMPLE-00421,Inventory,49.5,50.9,0.42,0.06,173,12.8,1,2,0
SAMPLE-00422,Authentication,51.4,56.7,0.69,0.1,301,17.7,0,2,0
SAMPLE-00423,Inventory,93,87.9,3.64,1.42,1105,100,1,2,1
SAMPLE-00424,Checkout,25.5,39.3,0.08,0.11,329,29,0,2,0
SAMPLE-00425,Checkout,98.4,69.7,1.8,0.5,1418,89.2,0,2,0
SAMPLE-00426,Checkout,58.6,53.9,0.36,0.05,218,35.9,0,2,0
SAMPLE-00427,Orders,95.4,83.4,2.72,2.08,1557,94.8,0,2,1
SAMPLE-00428,Orders,80,87,4.56,9.92,462,99,1,2,1
SAMPLE-00429,Authentication,38.9,50.7,0.35,0.01,262,41.9,0,2,0
SAMPLE-00430,Inventory,82.1,88.8,3.98,8.92,348,66.8,1,2,1
SAMPLE-00431,Payments,88.8,75.3,2.81,1.2,1689,100,0,2,1
SAMPLE-00432,Authentication,93.1,75.7,2.66,1.63,1546,92.4,0,2,1
SAMPLE-00433,Checkout,36,48.3,0.82,0,281,20.8,0,2,0
SAMPLE-00434,Orders,46.5,55.2,0.89,0,570,33.5,1,2,0
SAMPLE-00435,Authentication,24.7,41.2,0.42,0.06,307,25,0,2,0
SAMPLE-00436,Orders,38.1,62.5,0.43,0.07,273,32.6,0,2,0
SAMPLE-00437,Authentication,42.9,41.7,0.19,0.02,274,23.7,1,2,0
SAMPLE-00438,Authentication,28.8,48.8,0.32,0.02,455,38.4,0,2,0
SAMPLE-00439,Orders,81.1,81.8,3.56,1.22,1858,92,0,2,1
SAMPLE-00440,Orders,54.3,41.6,0.18,0.03,349,47.4,0,2,0
SAMPLE-00441,Authentication,25.7,41.8,0.48,0.08,227,54.7,0,2,0
SAMPLE-00442,Payments,40.7,25,0.15,0.04,342,37,0,2,0
SAMPLE-00443,Payments,15,50.9,1.02,0.05,312,39.9,0,2,0
SAMPLE-00444,Checkout,39.4,52.2,0.24,0.09,291,26.4,0,2,0
SAMPLE-00445,Orders,46.2,60.5,0.77,0.05,411,37.4,0,2,0
SAMPLE-00446,Orders,91.1,94.7,3.13,6.17,575,71.3,1,2,1
SAMPLE-00447,Orders,28.3,56.3,0.51,0.03,512,27,0,2,0
SAMPLE-00448,Checkout,47.5,69.9,0.43,0,433,36.6,0,2,0
SAMPLE-00449,Authentication,81.9,84.9,3.43,6.79,628,57.3,1,2,1
SAMPLE-00450,Authentication,41.5,69.9,0.51,0.05,321,38.8,0,2,0
SAMPLE-00451,Checkout,29.9,54.2,0.14,0.01,504,36.1,0,2,0
SAMPLE-00452,Payments,32.5,38.9,0.74,0.1,442,24.7,0,2,0
SAMPLE-00453,Checkout,33,53.2,0.47,0.02,316,46.1,0,2,0
SAMPLE-00454,Authentication,55.5,48.1,0.43,0.05,432,21.7,0,2,0
SAMPLE-00455,Orders,61.1,92.4,3.28,3.63,639,85.5,1,2,1
SAMPLE-00456,Orders,76.9,90,2.71,16.09,700,72.2,1,2,1
SAMPLE-00457,Inventory,54.5,26.6,0.44,0,319,41.5,0,2,0
SAMPLE-00458,Authentication,18.7,39.2,0.32,0.06,207,47.9,0,2,0
SAMPLE-00459,Payments,91.9,84.9,3.22,10.48,567,88.8,1,2,1
SAMPLE-00460,Payments,49.3,40,0.67,0.05,324,46.9,0,2,0
SAMPLE-00461,Checkout,32.7,53.1,0.08,0.04,453,26.5,0,2,0
SAMPLE-00462,Checkout,64.5,54.5,0.6,0.08,251,27.7,0,2,0
SAMPLE-00463,Authentication,52.9,63.9,0.11,0.07,280,40.4,0,2,0
SAMPLE-00464,Payments,19.6,33.3,0.27,0.04,438,46.3,0,2,0
SAMPLE-00465,Inventory,41.2,59.5,0.42,0.07,122,34.4,0,2,0
SAMPLE-00466,Orders,39.5,64,0.57,0.01,390,30.3,0,2,0
SAMPLE-00467,Inventory,22.5,40.9,0.45,0.07,129,30.8,0,2,0
SAMPLE-00468,Authentication,35.9,56.9,0.39,0.03,176,42.2,0,2,0
SAMPLE-00469,Authentication,33.9,35.5,0.54,0.04,190,19.2,0,2,0
SAMPLE-00470,Checkout,48.6,44.8,0.58,0,315,38.1,1,2,0
SAMPLE-00471,Payments,59.1,59.9,0.77,0.14,349,48.6,0,2,0
SAMPLE-00472,Checkout,29.1,63.9,0.64,0.02,423,40.3,1,2,0
SAMPLE-00473,Authentication,40,33.1,0.43,0.15,185,42.8,0,2,0
SAMPLE-00474,Inventory,91.4,76.2,4.41,2.53,1241,92.7,0,2,1
SAMPLE-00475,Payments,45.5,64.1,0.43,0,380,40.1,0,2,0
SAMPLE-00476,Authentication,52.1,54.1,0.43,0.04,447,34.4,0,2,0
SAMPLE-00477,Orders,42.2,40.1,0.4,0.03,290,38.8,0,2,0
SAMPLE-00478,Checkout,15,42.8,0.35,0.01,242,36.1,0,2,0
SAMPLE-00479,Orders,88.8,98.3,5.01,8.55,401,83.1,1,2,1
SAMPLE-00480,Checkout,78,74.7,2.09,0.8,1547,90.3,0,2,1
SAMPLE-00481,Checkout,58.8,56.6,0.77,0.07,149,25,0,2,0
SAMPLE-00482,Authentication,60.2,89.6,2.47,6.97,469,70.9,1,2,1
SAMPLE-00483,Authentication,30.3,37.9,0.34,0,174,47.1,0,2,0
SAMPLE-00484,Authentication,42.6,53.5,0.44,0.04,273,58.2,0,2,0
SAMPLE-00485,Payments,96.9,85.7,4.72,3,444,66.9,1,2,1
SAMPLE-00486,Payments,53.7,50.8,0.25,0.1,245,35.7,0,2,0
SAMPLE-00487,Checkout,84.3,91.7,4.38,7.26,650,59.4,1,2,1
SAMPLE-00488,Orders,54.7,39.3,0.73,0.06,253,27.4,0,2,0
SAMPLE-00489,Inventory,27,59.6,0.84,0.02,273,46.8,1,2,0
SAMPLE-00490,Authentication,70.5,97.9,5.14,11.56,100,99,1,2,1
SAMPLE-00491,Inventory,85,81,1.8,0.5,989,94.1,0,2,0
SAMPLE-00492,Authentication,95.3,83.6,2.22,2.04,1420,90.5,1,2,1
SAMPLE-00493,Authentication,26.3,57,0.43,0.1,459,51.7,0,2,0
SAMPLE-00494,Orders,36,38.5,0.82,0.02,472,50,0,2,0
SAMPLE-00495,Checkout,33.6,56.8,0.39,0.03,205,26.4,1,2,0
SAMPLE-00496,Checkout,44.6,49,0.63,0.07,437,29.1,0,2,0
SAMPLE-00497,Payments,64.6,48.4,0.7,0.01,202,30.6,0,2,0
SAMPLE-00498,Checkout,44.2,70.3,0.09,0,389,65,0,2,0
SAMPLE-00499,Authentication,91.3,83,2.78,9.51,639,69.5,1,2,1
SAMPLE-00500,Checkout,25.9,45.8,0.87,0.03,385,10,0,2,0
SAMPLE-00501,Inventory,44.3,39.4,0.81,0.07,295,21.2,1,2,0
SAMPLE-00502,Inventory,70.4,75.2,5.03,3,707,79.8,1,2,1
SAMPLE-00503,Authentication,85.7,87.1,4.14,3.12,1277,90,0,2,1
SAMPLE-00504,Authentication,52.7,45,0.45,0.06,180,34.4,0,2,0
SAMPLE-00505,Inventory,84.7,76.2,2.81,2.56,1360,97.9,1,2,1
SAMPLE-00506,Inventory,60.1,51.2,0.38,0.12,259,36.1,0,2,0
SAMPLE-00507,Inventory,60,49.5,0.19,0.03,266,10,0,2,0
SAMPLE-00508,Checkout,43.2,32.5,0.4,0.09,198,31.8,0,2,0
SAMPLE-00509,Orders,45.6,36.6,0.53,0.01,402,52,0,2,0
SAMPLE-00510,Inventory,89.1,84.5,2.43,2.16,1906,97,1,2,1
SAMPLE-00511,Authentication,75.4,94.9,3.72,8.73,592,68.7,1,2,1
SAMPLE-00512,Payments,93.6,90.6,3.58,4.79,537,60.5,1,2,1
SAMPLE-00513,Authentication,28.3,39.1,0.21,0.03,270,15.7,0,2,0
SAMPLE-00514,Inventory,50.4,43.2,0.39,0.01,351,45.5,0,2,0
SAMPLE-00515,Authentication,46.6,32.9,0.53,0,266,35.1,0,2,0
SAMPLE-00516,Orders,56.1,55.9,0.08,0,279,32.3,0,2,0
SAMPLE-00517,Orders,33,51.2,0.26,0,298,36,0,2,0
SAMPLE-00518,Orders,62.3,46.2,0.94,0.13,342,45.9,0,2,0
SAMPLE-00519,Orders,53.4,45.7,0.55,0.13,349,42.2,1,2,0
SAMPLE-00520,Checkout,48.3,31.4,0.26,0.08,432,17.5,0,2,0
SAMPLE-00521,Authentication,47.1,59.1,0.33,0,319,31.7,0,2,0
SAMPLE-00522,Authentication,62.2,33.9,0.55,0.05,405,37.1,0,2,0
SAMPLE-00523,Payments,28.9,54.2,0.45,0.05,430,37.6,0,2,0
SAMPLE-00524,Checkout,97.4,78.9,2.22,3.98,1574,90.5,0,2,1
SAMPLE-00525,Orders,35.7,38,0.39,0.01,524,38,0,2,0
SAMPLE-00526,Orders,88,72.1,2.92,4.33,927,93.6,0,2,1
SAMPLE-00527,Inventory,15,31.4,0.29,0.03,133,28.1,0,2,0
SAMPLE-00528,Inventory,99,65,2.16,2.87,981,90.4,0,2,1
SAMPLE-00529,Checkout,15,44,0.83,0.06,399,33.2,0,2,0
SAMPLE-00530,Orders,90.7,76.3,2.96,3.77,2137,88.8,0,2,1
SAMPLE-00531,Authentication,74.7,78.8,3.05,7.14,511,61.5,1,2,1
SAMPLE-00532,Inventory,40.3,49.8,0.3,0.1,215,19.1,0,2,0
SAMPLE-00533,Authentication,32.8,62.8,1.41,0.08,341,29.8,0,2,0
SAMPLE-00534,Payments,79.4,77,2.96,4.18,1333,91.3,0,2,1
SAMPLE-00535,Payments,52.5,51.8,0.47,0.07,347,33.5,0,2,0
SAMPLE-00536,Inventory,46.6,38.9,0.67,0.16,371,31.6,0,2,0
SAMPLE-00537,Payments,83.1,92.5,2.23,13.63,472,96.5,1,2,1
SAMPLE-00538,Checkout,48,56.2,0.39,0.11,312,16.1,0,2,0
SAMPLE-00539,Orders,88.2,90.3,3.49,5.48,720,77.1,1,2,1
SAMPLE-00540,Authentication,43.3,61.8,0.35,0.09,399,27.1,0,2,0
SAMPLE-00541,Payments,40,52.4,0.62,0.02,343,45.8,0,2,0
SAMPLE-00542,Orders,76.6,90.9,3.91,16.96,676,72.4,1,2,1
SAMPLE-00543,Inventory,15,47.7,0.55,0.01,404,29.7,0,2,0
SAMPLE-00544,Authentication,21.4,41.8,0.99,0.08,453,41.6,0,2,0
SAMPLE-00545,Payments,78.2,92.7,2.42,4.82,448,97.4,1,2,1
SAMPLE-00546,Orders,37.5,52.9,0.44,0.07,412,28,0,2,0
SAMPLE-00547,Checkout,17.9,47.7,0.83,0.1,236,32.5,0,2,0
SAMPLE-00548,Orders,58.4,59.2,0.42,0.03,337,10,0,2,0
SAMPLE-00549,Checkout,91.3,87.9,3.16,4.21,1528,99.1,1,2,1
SAMPLE-00550,Checkout,96.4,73,2.64,0.83,900,92.5,0,2,1
SAMPLE-00551,Checkout,85.9,92.4,2.5,1.5,1256,97.1,1,2,1
SAMPLE-00552,Checkout,86,79.3,3.27,3.34,1752,94,0,2,1
SAMPLE-00553,Authentication,48.8,58.4,1.02,0.08,318,43.3,0,2,0
SAMPLE-00554,Authentication,32.5,55.2,0.39,0.05,384,52.5,0,2,0
SAMPLE-00555,Inventory,49.7,52.4,0.51,0.07,222,38,0,2,0
SAMPLE-00556,Inventory,71.2,86.9,3.22,8.52,367,84.3,1,2,1
SAMPLE-00557,Checkout,43,44,0.32,0.02,164,44.5,0,2,0
SAMPLE-00558,Authentication,50.3,49.7,0.46,0.04,213,42.1,0,2,0
SAMPLE-00559,Inventory,28.5,53.5,0.69,0.1,416,32.7,0,2,0
SAMPLE-00560,Checkout,96.4,73.6,2.77,0.5,1017,96.3,1,2,1
SAMPLE-00561,Authentication,80.6,76.8,2.92,1.92,1084,95.4,0,2,1
SAMPLE-00562,Checkout,50,56,0.69,0.01,366,22.8,0,2,0
SAMPLE-00563,Orders,31.4,34.9,0.51,0.11,452,25.1,0,2,0
SAMPLE-00564,Authentication,43.2,47.5,0.33,0.08,251,50.8,0,2,0
SAMPLE-00565,Inventory,40.5,45.5,0.22,0.11,360,17.9,0,2,0
SAMPLE-00566,Checkout,93.9,85,4.46,4.44,1704,87.6,0,2,1
SAMPLE-00567,Authentication,78.1,78.1,2.37,2.88,1662,87,0,2,1
SAMPLE-00568,Payments,41.3,49.7,0.08,0.05,250,27.6,0,2,0
SAMPLE-00569,Inventory,94.1,94.8,2.88,6.99,681,80.3,1,2,1
SAMPLE-00570,Checkout,22.8,56.7,0.48,0.06,372,13.4,0,2,0
SAMPLE-00571,Inventory,53.4,34.2,0.18,0.07,210,35.8,0,2,0
SAMPLE-00572,Checkout,38.6,57.8,0.2,0.01,408,24.9,0,2,0
SAMPLE-00573,Payments,35.9,53.1,0.29,0.03,303,49.5,0,2,0
SAMPLE-00574,Checkout,42.6,60.6,0.59,0.04,450,37.9,0,2,0
SAMPLE-00575,Checkout,92.3,93.5,4.01,8.69,734,88.5,1,2,1
SAMPLE-00576,Checkout,90,88.8,3.8,2.38,1299,93.1,0,2,1
SAMPLE-00577,Inventory,22.9,52.6,0.23,0.06,383,12.1,0,2,0
SAMPLE-00578,Orders,34.4,50.5,0.08,0.03,501,13.9,0,2,0
SAMPLE-00579,Authentication,26.9,25,0.67,0.07,412,28.9,0,2,0
SAMPLE-00580,Orders,32,59.6,0.27,0.05,221,28.4,0,2,0
SAMPLE-00581,Orders,35.1,38.4,0.68,0.04,164,30.6,0,2,0
SAMPLE-00582,Authentication,90.9,91.3,3.29,3.76,1077,100,0,2,1
SAMPLE-00583,Inventory,15,43.1,0.5,0.07,289,19.2,0,2,0
SAMPLE-00584,Orders,50.8,55.8,0.41,0.12,250,12.3,0,2,0
SAMPLE-00585,Authentication,34.1,29,0.35,0,159,44.4,0,2,0
SAMPLE-00586,Orders,53.3,47.5,0.65,0.1,413,34.5,0,2,0
SAMPLE-00587,Payments,22.9,46.4,0.4,0,501,46.8,0,2,0
SAMPLE-00588,Authentication,46.6,38,0.45,0.05,268,37,0,2,0
SAMPLE-00589,Orders,33.6,36.8,0.08,0.04,331,48.4,0,2,0
SAMPLE-00590,Inventory,94.9,80.3,3.79,3.49,1301,96.8,0,2,1
SAMPLE-00591,Authentication,88.1,80.6,2.5,5.25,948,90.5,0,2,1
SAMPLE-00592,Inventory,65,47.9,0.66,0.07,325,31.3,1,2,0
SAMPLE-00593,Authentication,31.2,25,0.64,0.04,399,35.4,1,2,0
SAMPLE-00594,Authentication,56.4,58.6,0.85,0.13,341,43.1,0,2,0
SAMPLE-00595,Checkout,31.8,45.2,0.18,0,338,24.1,0,2,0
SAMPLE-00596,Checkout,94.9,93.2,2.34,17.52,539,75.2,1,2,1
SAMPLE-00597,Orders,37.7,55.2,0.77,0.03,386,40.5,0,2,0
SAMPLE-00598,Authentication,52.1,27.4,0.15,0.03,431,36.9,0,2,0
SAMPLE-00599,Inventory,39.9,43.1,0.6,0.08,385,42.3,0,2,0
SAMPLE-00600,Orders,41.4,55,0.56,0.02,238,46.3,0,2,0
SAMPLE-00601,Orders,46.3,45.2,0.63,0.03,450,57.7,0,2,0
SAMPLE-00602,Checkout,99,94,3.62,2.68,2200,93.9,0,2,1
SAMPLE-00603,Authentication,28.8,56.4,0.57,0.02,449,49.4,0,2,0
SAMPLE-00604,Inventory,51.2,41.7,0.54,0.07,245,39.6,0,2,0
SAMPLE-00605,Orders,76.8,87.6,3.61,6.94,673,50,1,2,1
SAMPLE-00606,Inventory,45.9,62.6,0.87,0.07,426,34,0,2,0
SAMPLE-00607,Orders,31,51.1,1.3,0.17,415,44.9,0,2,0
SAMPLE-00608,Payments,97.8,68.1,5.1,2.44,1116,93,0,2,1
SAMPLE-00609,Checkout,43.2,52.7,0.63,0,356,31.1,0,2,0
SAMPLE-00610,Checkout,41.6,46.6,0.7,0.02,109,20.8,0,2,0
SAMPLE-00611,Orders,37.9,47.7,0.08,0.02,535,44.9,1,2,0
SAMPLE-00612,Payments,57.7,51.6,0.53,0.04,364,41,0,2,0
SAMPLE-00613,Inventory,38.2,46.9,0.8,0.03,385,22.7,0,2,0
SAMPLE-00614,Payments,32.4,48.4,0.65,0.09,291,28.2,0,2,0
SAMPLE-00615,Payments,82.7,87.5,3.91,3,468,66.2,1,2,1
SAMPLE-00616,Orders,49.5,43,0.23,0.07,389,33.4,0,2,0
SAMPLE-00617,Payments,30.5,36.2,0.8,0.04,325,39.8,0,2,0
SAMPLE-00618,Checkout,80.2,77.8,3.52,1.88,1924,95.8,0,2,1
SAMPLE-00619,Payments,39,42.5,0.29,0.05,356,33.2,0,2,0
SAMPLE-00620,Payments,87.9,92.6,3.14,0.72,1375,96.6,1,2,1
SAMPLE-00621,Inventory,48.4,49.9,0.08,0.1,50,32,0,2,0
SAMPLE-00622,Checkout,95,93,1.98,2.06,954,91.3,1,2,1
SAMPLE-00623,Inventory,27.7,52.3,0.84,0.03,422,25.8,0,2,0
SAMPLE-00624,Inventory,33.4,43.1,0.51,0.1,146,25.4,0,2,0
SAMPLE-00625,Orders,25.9,60.3,0.08,0.03,232,21.3,0,2,0
SAMPLE-00626,Checkout,21.7,37.7,0.45,0.02,370,36.2,0,2,0
SAMPLE-00627,Inventory,79.3,95,4.98,10.06,492,84.1,1,2,1
SAMPLE-00628,Payments,89.5,96.2,3.08,7.12,453,98.5,1,2,1
SAMPLE-00629,Inventory,74.8,98.4,3.33,9.22,452,74.1,1,2,1
SAMPLE-00630,Inventory,38.5,33.1,0.34,0.07,167,30.6,1,2,0
SAMPLE-00631,Orders,87.9,79.7,2.01,4.4,1709,95.6,1,2,1
SAMPLE-00632,Authentication,32.7,51.9,0.21,0.1,497,39.1,0,2,0
SAMPLE-00633,Checkout,39.6,48.1,0.2,0,403,52.6,0,2,0
SAMPLE-00634,Payments,29,59.2,0.09,0.07,184,36.4,1,2,0
SAMPLE-00635,Orders,44.4,53.2,0.61,0.04,306,19.2,0,2,0
SAMPLE-00636,Orders,77.5,86.7,3.24,9.59,422,99,1,2,1
SAMPLE-00637,Authentication,36.7,37.9,0.75,0.01,145,46.8,0,2,0
SAMPLE-00638,Authentication,76,94.1,3.35,9.13,463,79.4,1,2,1
SAMPLE-00639,Payments,93.1,84.8,2.09,2,1225,99,0,2,1
SAMPLE-00640,Inventory,98.1,83.9,2.73,4.57,1707,96.5,0,2,1
SAMPLE-00641,Authentication,99,85.7,2.76,1.8,912,96.8,0,2,1
SAMPLE-00642,Orders,37.7,46.5,0.57,0.08,419,57.4,0,2,0
SAMPLE-00643,Inventory,47.6,55.2,0.45,0,185,34.7,0,2,0
SAMPLE-00644,Inventory,39.8,45.1,0.21,0,389,52,0,2,0
SAMPLE-00645,Inventory,55.4,41.7,0.76,0.09,304,51.5,0,2,0
SAMPLE-00646,Checkout,98.3,71.8,3.06,2.34,1826,99.1,0,2,1
SAMPLE-00647,Payments,87.5,79.6,2.17,2.83,1150,93.7,0,2,1
SAMPLE-00648,Authentication,82.3,91.2,4.82,14.78,574,90.6,1,2,1
SAMPLE-00649,Authentication,45,44.5,0.2,0.01,339,25.8,0,2,0
SAMPLE-00650,Checkout,42.6,64.8,0.38,0.07,268,29.8,0,2,0
SAMPLE-00651,Authentication,78,87.5,2.95,2.73,900,90.7,0,2,1
SAMPLE-00652,Authentication,36,50.6,0.26,0.06,370,38.3,1,2,0
SAMPLE-00653,Checkout,45.9,58.2,0.44,0.03,354,36.7,1,2,0
SAMPLE-00654,Payments,43.8,60.1,0.08,0,244,19.3,1,2,0
SAMPLE-00655,Authentication,86,88.6,3.14,11.74,698,84.5,1,2,1
SAMPLE-00656,Orders,27.5,39.5,0.57,0,251,26,0,2,0
SAMPLE-00657,Authentication,34.1,57.5,0.48,0.02,394,40.3,0,2,0
SAMPLE-00658,Orders,78,65,3.96,3.23,1682,92.3,0,2,1
SAMPLE-00659,Authentication,42.8,54.2,0.45,0.05,258,63.6,1,2,0
SAMPLE-00660,Inventory,37.2,52.3,0.23,0.14,277,56.2,0,2,0
SAMPLE-00661,Inventory,45.2,46.1,0.53,0.07,317,22.4,0,2,0
SAMPLE-00662,Inventory,35.3,45.7,0.65,0.04,357,60.4,0,2,0
SAMPLE-00663,Inventory,47.2,40,0.08,0.09,287,23.3,0,2,0
SAMPLE-00664,Payments,52.5,60.3,0.08,0.03,513,62.5,0,2,0
SAMPLE-00665,Inventory,38.4,34.7,0.21,0.06,391,27.2,1,2,0
